Feature;Univariate;;;Multivariate;;;
;RBC;p value;p MCC;Min;Max;Mean;SD
wSMI__mean;0,011;1,000;1,000;0,000;0,106;0,037;0,034
wSMI__std;0,473;0,146;0,730;0,000;0,016;0,002;0,005
wSMI__mean;0,275;0,414;0,836;0,000;0,063;0,007;0,020
wSMI__std;0,429;0,191;0,730;0,000;0,083;0,009;0,026
wSMI__mean;-0,121;0,735;0,902;0,000;0,023;0,002;0,007
wSMI__std;0,407;0,216;0,730;0,000;0,069;0,016;0,028
wSMI__mean;0,055;0,893;0,945;0,000;0,000;0,000;0,000
wSMI__std;0,253;0,455;0,836;0,000;0,000;0,000;0,000
PE__mean;-0,319;0,340;0,836;0,000;0,000;0,000;0,000
PE__std;-0,055;0,893;0,945;0,000;0,004;0,000;0,001
PE__mean;0,209;0,542;0,836;0,000;0,015;0,001;0,005
PE__std;-0,319;0,340;0,836;0,000;0,008;0,001;0,002
PE__mean;-0,407;0,216;0,730;0,000;0,021;0,002;0,007
PE__std;0,011;1,000;1,000;0,000;0,000;0,000;0,000
PE__mean;-0,121;0,735;0,902;0,000;0,015;0,001;0,005
PE__std;0,538;0,094;0,730;0,000;0,299;0,069;0,096
K_mean;-0,516;0,110;0,730;0,000;0,083;0,020;0,026
K_std;0,099;0,787;0,924;0,000;0,031;0,010;0,014
SE_mean;-0,560;0,080;0,730;0,000;0,125;0,038;0,044
SE_std;-0,253;0,455;0,836;0,000;0,031;0,005;0,012
MSF_mean;-0,626;0,048;0,730;0,000;0,008;0,001;0,002
MSF_std;-0,187;0,588;0,858;0,000;0,000;0,000;0,000
SEF90_mean;-0,385;0,244;0,775;0,000;0,000;0,000;0,000
SEF90_std;-0,429;0,191;0,730;0,000;0,000;0,000;0,000
SEF95_mean;-0,231;0,497;0,836;0,000;0,026;0,005;0,010
SEF95_std;-0,429;0,191;0,730;0,000;0,023;0,004;0,009
__mean;-0,253;0,455;0,836;0,000;0,031;0,003;0,010
__std;0,077;0,839;0,944;0,000;0,036;0,005;0,012
|_|_mean;-0,516;0,110;0,730;0,000;0,083;0,027;0,031
|_|_std;-0,143;0,685;0,902;0,000;0,063;0,013;0,026
__mean;0,121;0,735;0,902;0,000;0,000;0,000;0,000
__std;-0,187;0,588;0,858;0,000;0,058;0,017;0,023
|_|_mean;-0,077;0,839;0,944;0,000;0,031;0,005;0,010
|_|_std;-0,275;0,414;0,836;0,000;0,313;0,053;0,102
__mean;0,670;0,033;0,730;0,000;0,094;0,022;0,035
__std;-0,121;0,735;0,902;0,000;0,000;0,000;0,000
|_|_mean;0,758;0,013;0,725;0,103;0,812;0,407;0,272
|_|_std;0,253;0,455;0,836;0,000;0,042;0,009;0,015
__mean;-0,099;0,787;0,924;0,000;0,140;0,020;0,046
__std;-0,143;0,685;0,902;0,000;0,042;0,005;0,013
|_|_mean;-0,209;0,542;0,836;0,000;0,042;0,004;0,013
|_|_std;0,363;0,273;0,777;0,000;0,090;0,015;0,033
|_|_mean;-0,055;0,893;0,945;0,000;0,063;0,010;0,021
|_|_std;0,165;0,635;0,902;0,000;0,045;0,005;0,014
__mean;0,231;0,497;0,836;0,000;0,023;0,003;0,007
__std;-0,473;0,146;0,730;0,000;0,100;0,042;0,039
CNV_mean;-0,297;0,376;0,836;0,000;0,015;0,003;0,006
CNV_std;-0,209;0,542;0,836;0,000;0,036;0,004;0,011
P1_mean;0,363;0,273;0,777;0,000;0,125;0,019;0,042
P1_std;-0,604;0,057;0,730;0,000;0,094;0,032;0,039
P3a_mean;0,011;1,000;1,000;0,000;0,000;0,000;0,000
P3a_std;-0,253;0,455;0,836;0,000;0,125;0,016;0,039
P3b_mean;0,231;0,497;0,836;0,000;0,068;0,016;0,023
P3b_std;-0,429;0,191;0,730;0,000;0,031;0,011;0,013