,Marker,Log-Likelihood,AIC,Random Effects Var,Estimate,P_val,Z_stat,AUC_mean,AUC_std,AUC_sem,AUC_range,p_corrected,significant
0,wSMI_1_mean,-116.1147728838654,238.2295457677308,"participant    1.053976
Name: Var, dtype: float64",-0.26010337613627665,0.9468191517885066,-0.06670173659710776,0.613015995872033,0.0588041820426871,0.026298029681744158,0.1513157894736843,0.9474463428633227,p > 0.05
1,wSMI_1_std,-114.52095780001912,235.04191560003824,"participant    1.165815
Name: Var, dtype: float64",0.2899856313549505,0.5043578479419861,0.6676487241355256,0.6296439628482972,0.08570500574448231,0.03832844377133448,0.23626160990712075,0.8494641669803569,p > 0.05
2,wSMI_2_mean,-116.11332599260331,238.22665198520662,"participant    1.058119
Name: Var, dtype: float64",-0.529593870926927,0.9187672378373696,-0.10198669251613379,0.6117303061575508,0.07246915919865031,0.032409193248087255,0.17763157894736836,0.9474463428633227,p > 0.05
3,wSMI_2_std,-115.61905101950151,237.23810203900302,"participant    1.05656
Name: Var, dtype: float64",-0.5911424773225014,0.15414711580280072,-1.4250348902619598,0.6148004815961473,0.0579223108630841,0.025903644900746113,0.14899380804953566,0.7215589921885206,p > 0.05
4,wSMI_4_mean,-116.10316248954518,238.20632497909037,"participant    1.052249
Name: Var, dtype: float64",0.21531517797472538,0.9474463428633227,0.06591393917221124,0.6093696250429997,0.07356945215050176,0.032901259215188,0.19910990712074306,0.9474463428633227,p > 0.05
5,wSMI_4_std,-115.97902526055823,237.95805052111646,"participant    1.062025
Name: Var, dtype: float64",-0.18322072698761752,0.6107499414015729,-0.5090032566444634,0.6354403164774682,0.06834899485785763,0.030566599739190646,0.17356811145510842,0.8494641669803569,p > 0.05
6,wSMI_8_mean,-115.03487528402168,236.06975056804336,"participant    1.114551
Name: Var, dtype: float64",5.026823027586461,0.1737086462676068,1.3603833446262215,0.6149767801857585,0.07689058775937305,0.03438651621197427,0.19369195046439636,0.7215589921885206,p > 0.05
7,wSMI_8_std,-115.89849219885934,237.7969843977187,"participant    1.068592
Name: Var, dtype: float64",-0.13016373091289768,0.7312644071600811,-0.3434440742116529,0.5916365669074647,0.09731414059982517,0.04352020671063624,0.23684210526315785,0.8494641669803569,p > 0.05
8,p_e_1_mean,-115.93080891911531,237.86161783823061,"participant    1.107684
Name: Var, dtype: float64",-4.397235259936325,0.5207382951015,-0.6422077601108542,0.6135190918472653,0.08466310473152051,0.03786249147317279,0.22116873065015474,0.8494641669803569,p > 0.05
9,p_e_1_std,-114.77796860952128,235.55593721904256,"participant    1.110691
Name: Var, dtype: float64",0.11048926967917402,0.7717937731717577,0.2900293642750676,0.633513931888545,0.0928540987598808,0.04152561536331447,0.2755417956656347,0.8538198237428706,p > 0.05
10,p_e_2_mean,-115.98918374408788,237.97836748817576,"participant    1.088066
Name: Var, dtype: float64",-3.7805192008498816,0.5891938842536635,-0.5400045649902264,0.6142199862401101,0.09160027251784897,0.04096488722148322,0.23065015479876155,0.8494641669803569,p > 0.05
11,p_e_2_std,-115.82734444228008,237.65468888456016,"participant    1.043844
Name: Var, dtype: float64",-0.09849321883570697,0.7970074423735819,-0.25722194730305986,0.6378525971792225,0.08715260444215368,0.03897582958976115,0.23722910216718257,0.8607680377634684,p > 0.05
12,p_e_4_mean,-115.0311769408995,236.062353881799,"participant    0.9414
Name: Var, dtype: float64",-17.158324899281936,0.13664933678584723,-1.488385202303419,0.6191477468180254,0.07281036332375085,0.03256178437167288,0.19078947368421062,0.7215589921885206,p > 0.05
13,p_e_4_std,-116.11479286042162,238.22958572084323,"participant    1.053845
Name: Var, dtype: float64",-0.2927675490600077,0.5369832221958681,-0.6173813473077463,0.5950034399724802,0.0919573470194746,0.04112457579321657,0.24787151702786375,0.8494641669803569,p > 0.05
14,p_e_8_mean,-115.77424640504603,237.54849281009206,"participant    1.07572
Name: Var, dtype: float64",-9.140250066616556,0.39739888665824036,-0.8462758324530361,0.6184941520467836,0.06462282897097849,0.028900207695490135,0.17647058823529405,0.8446489921782883,p > 0.05
15,p_e_8_std,-116.06047591625624,238.12095183251247,"participant    1.079672
Name: Var, dtype: float64",-0.1958656086373955,0.6358772745240957,-0.4734708759120318,0.6034012727898177,0.07451479804711675,0.033324030752604324,0.2058823529411764,0.8494641669803569,p > 0.05
16,k_mean,-115.29707152342739,236.59414304685478,"participant    1.125501
Name: Var, dtype: float64",-23.626767824335147,0.20958554289455578,-1.2547059007238524,0.6254127966976264,0.07778976412558583,0.03478864010769688,0.18440402476780182,0.7446068032417578,p > 0.05
17,k_std,-114.82503765019776,235.6500753003955,"participant    1.026141
Name: Var, dtype: float64",0.20014136088648407,0.6355022434263141,0.4739967238965315,0.6378783969728243,0.0712625114344591,0.03186956396296132,0.1861025111799106,0.8494641669803569,p > 0.05
18,se_mean,-114.1704691424469,234.3409382848938,"participant    1.157802
Name: Var, dtype: float64",-16.840113588827563,0.055100103222326585,-1.9180860325352345,0.6316606467148264,0.058894323715245764,0.026338342263233498,0.1530572755417956,0.5950811148011271,p > 0.05
19,se_std,-115.13300604782233,236.26601209564467,"participant    1.026691
Name: Var, dtype: float64",0.16194621234234485,0.7066048395808046,0.37641978486905253,0.6380976952184383,0.07365849783646085,0.032941081656569525,0.21962074303405577,0.8494641669803569,p > 0.05
20,msf_mean,-115.12579290198326,236.25158580396652,"participant    1.195232
Name: Var, dtype: float64",-1.3902466909972673,0.10641240557947267,-1.6145305051486931,0.630968352253182,0.07839547777475238,0.03505952348658405,0.20065789473684204,0.7215589921885206,p > 0.05
21,msf_std,-116.02108731015127,238.04217462030255,"participant    1.040344
Name: Var, dtype: float64",-0.17512318029118296,0.656645334041063,-0.44454952093649847,0.6160689714482286,0.07582307809067974,0.03390911137480697,0.21458978328173373,0.8494641669803569,p > 0.05
22,sef90_mean,-115.34088420373956,236.68176840747913,"participant    1.192627
Name: Var, dtype: float64",-1.8111136906089036,0.16455464022134242,-1.38991516429146,0.6256449948400412,0.08206732462641034,0.03670162331923921,0.21613777089783281,0.7215589921885206,p > 0.05
23,sef90_std,-115.99061636368731,237.98123272737462,"participant    1.040833
Name: Var, dtype: float64",-0.1417824546395383,0.7332563901970377,-0.34079702506708626,0.6128654970760234,0.07580980277677175,0.03390317447394279,0.20781733746130027,0.8494641669803569,p > 0.05
24,sef95_mean,-115.5519366121951,237.1038732243902,"participant    1.150309
Name: Var, dtype: float64",-2.00056723962277,0.23441325287240522,-1.189067127119957,0.6218395252837977,0.08512965318683356,0.03807113828534829,0.22542569659442724,0.7446068032417578,p > 0.05
25,sef95_std,-116.0229424687009,238.0458849374018,"participant    1.048734
Name: Var, dtype: float64",-0.16947969697871404,0.6763321912748648,-0.4174733801267542,0.6193111455108359,0.07181870152192726,0.03211829973175939,0.19852941176470584,0.8494641669803569,p > 0.05
26,b_mean,-115.75365091344966,237.50730182689932,"participant    0.982483
Name: Var, dtype: float64",8.433066941778481,0.4066828480858425,0.8297452210627664,0.6096491228070177,0.09621421560613064,0.04302830529942585,0.2335526315789475,0.8446489921782883,p > 0.05
27,b_std,-116.09637080916914,238.1927416183383,"participant    1.062222
Name: Var, dtype: float64",-0.3536403203811982,0.39934882195523064,-0.8427847794593247,0.5962848297213623,0.07213030560112192,0.03225765331238849,0.18614551083591324,0.8446489921782883,p > 0.05
28,b_n_mean,-113.95695968979285,233.9139193795857,"participant    0.922745
Name: Var, dtype: float64",-2.0765837873294686,0.02500485853017131,-2.2413276602124843,0.6248882008943928,0.08324763319711581,0.03722947335894382,0.2203947368421052,0.4500874535430836,p < 0.05 uncorrected
29,b_n_std,-115.98332344907354,237.96664689814708,"participant    1.056818
Name: Var, dtype: float64",-0.12462729525840097,0.7747624326555678,-0.28615105071434327,0.5971534227726178,0.06958539272950899,0.031119533676840345,0.19756191950464397,0.8538198237428706,p > 0.05
30,g_mean,-116.01638105820918,238.03276211641835,"participant    1.06871
Name: Var, dtype: float64",3.21638654534089,0.6847226777773788,0.4060271145757077,0.620360337117303,0.08682889819499325,0.03883106375508274,0.2031733746130031,0.8494641669803569,p > 0.05
31,g_std,-116.04257694306784,238.08515388613569,"participant    1.027506
Name: Var, dtype: float64",-0.1741882771435707,0.6797704480816749,-0.412776394015293,0.6132610939112488,0.07951520873518872,0.03556028239539341,0.196013931888545,0.8494641669803569,p > 0.05
32,g_n_mean,-115.96204532864684,237.92409065729368,"participant    1.134129
Name: Var, dtype: float64",-0.4953701025226222,0.2934323230967665,-1.0506218033681411,0.6149982800137599,0.06635150308491022,0.02967329426142925,0.15421826625387003,0.7797467005830462,p > 0.05
33,g_n_std,-116.02718046835159,238.05436093670318,"participant    1.024989
Name: Var, dtype: float64",-0.19291217201641353,0.6025158963197483,-0.5207859433613501,0.6033066735466116,0.08299159520747382,0.03711496968901144,0.2294891640866873,0.8494641669803569,p > 0.05
34,t_mean,-114.77653078648898,235.55306157297795,"participant    1.148691
Name: Var, dtype: float64",-17.38983680709523,0.10872468409321605,-1.60395177000437,0.6292440660474716,0.052688939583869526,0.02356321011438235,0.15866873065015474,0.7215589921885206,p > 0.05
35,t_std,-115.99085276203462,237.98170552406924,"participant    1.031177
Name: Var, dtype: float64",-0.1554662974494056,0.6948563342016473,-0.3922732394186944,0.6299707602339181,0.05905404123224964,0.026409770108277126,0.1582817337461302,0.8494641669803569,p > 0.05
36,t_n_mean,-112.97988260466101,231.95976520932203,"participant    0.95841
Name: Var, dtype: float64",1.6621362516666682,0.04738278643385395,1.9828625357209668,0.6576367389060888,0.06335480653935367,0.028333130824668602,0.17763157894736836,0.5950811148011271,p < 0.05 uncorrected
37,t_n_std,-113.76029888159555,233.5205977631911,"participant    0.920686
Name: Var, dtype: float64",0.34289332450406074,0.39375321742244124,0.8528306623271018,0.6539645682834537,0.06670261732157687,0.029830317321640164,0.18421052631578938,0.8446489921782883,p > 0.05
38,d_mean,-115.85521471709751,237.71042943419502,"participant    1.097542
Name: Var, dtype: float64",-8.407507135910748,0.457885395769004,-0.7423333412652661,0.6152089783281733,0.06576267438139775,0.02940996205979786,0.19601393188854488,0.8494641669803569,p > 0.05
39,d_std,-115.57794507197067,237.15589014394135,"participant    1.080069
Name: Var, dtype: float64",-0.5890111335310706,0.1473056569563702,-1.44911432937653,0.6252364981080152,0.06604407579186561,0.02953580859635195,0.18227554179566563,0.7215589921885206,p > 0.05
40,d_n_mean,-115.86828768758572,237.73657537517144,"participant    1.049223
Name: Var, dtype: float64",0.29839581015879646,0.7366093301963518,0.3363468424490947,0.6091804265565874,0.07939099325792344,0.03550473154518886,0.18653250773993812,0.8494641669803569,p > 0.05
41,d_n_std,-116.11379825030653,238.22759650061306,"participant    1.05546
Name: Var, dtype: float64",-0.2809878301707043,0.4963112039618922,-0.6803052453183583,0.6002106983144135,0.07131103451539776,0.03189126414445263,0.19214396284829732,0.8494641669803569,p > 0.05
42,a_n_mean,-115.92150461094622,237.84300922189243,"participant    1.016653
Name: Var, dtype: float64",-0.6337285472551795,0.30323482800451795,-1.0295211891309173,0.6173761609907121,0.07601909731981586,0.03399677383905607,0.1983359133126935,0.7797467005830462,p > 0.05
43,a_n_std,-115.92836400276526,237.85672800553053,"participant    1.126229
Name: Var, dtype: float64",-0.13140653600006624,0.7393484416310513,-0.3327163035259033,0.6066176470588236,0.06615609919462093,0.029585906985078295,0.17008513931888547,0.8494641669803569,p > 0.05
44,a_mean,-116.10483655799186,238.20967311598372,"participant    1.042895
Name: Var, dtype: float64",0.7864228596894709,0.9177928886860123,0.10321430262436644,0.6284098727210183,0.08151447589758674,0.03645438185145443,0.22523219814241485,0.9474463428633227,p > 0.05
45,a_std,-115.90177435187614,237.80354870375228,"participant    1.037182
Name: Var, dtype: float64",-0.47601455284918964,0.23182172623951441,-1.19567931549478,0.6044590643274854,0.07555573377760377,0.0337895513633198,0.22697368421052622,0.7446068032417578,p > 0.05
46,CNV_mean,-115.31038717547207,236.62077435094415,"participant    0.97985
Name: Var, dtype: float64",-0.3366397040720003,0.2320205798421711,-1.1951700953894024,0.6301169590643275,0.08632629615970164,0.038606293291774375,0.2004643962848297,0.7446068032417578,p > 0.05
47,CNV_std,-115.18748003667169,236.37496007334337,"participant    1.067875
Name: Var, dtype: float64",-0.6837302473095381,0.09477505465135919,-1.6707298268423587,0.6184769521843825,0.05782010202428624,0.025857935718455443,0.1578947368421053,0.7215589921885206,p > 0.05
48,P1_mean,-115.57580536743846,237.15161073487693,"participant    1.036631
Name: Var, dtype: float64",-0.2501050117153123,0.3789778270888162,-0.8797812442011,0.6122033023735811,0.08137645693191796,0.036392657893570504,0.23123065015479877,0.8446489921782883,p > 0.05
49,P1_std,-114.06735319923601,234.13470639847202,"participant    1.123215
Name: Var, dtype: float64",-0.8736707698337747,0.0027657765010421294,-2.992637938121806,0.6522144822841418,0.06414949390350275,0.028688525818088093,0.14473684210526305,0.149351931056275,p < 0.05 uncorrected
50,P3a_mean,-116.05181635044814,238.10363270089627,"participant    1.081715
Name: Var, dtype: float64",-0.29867552113877693,0.29936824123700206,-1.0377891242523472,0.578422772617819,0.07068075253645652,0.03160939347447149,0.1766640866873065,0.7797467005830462,p > 0.05
51,P3a_std,-116.10942210950421,238.21884421900842,"participant    1.047917
Name: Var, dtype: float64",-0.32540712126550797,0.25346671731248444,-1.1419694528524054,0.58421912624699,0.05592892113077372,0.025012173911326888,0.12422600619195057,0.7604001519374534,p > 0.05
52,P3b_mean,-114.34480071011609,234.68960142023218,"participant    1.060096
Name: Var, dtype: float64",-0.1445190650545653,0.6143941075713776,-0.5038111273112779,0.6209193326453388,0.05919559696410313,0.026473075756082952,0.16447368421052633,0.8494641669803569,p > 0.05
53,P3b_std,-114.95455986336916,235.9091197267383,"participant    1.140172
Name: Var, dtype: float64",-0.7500681571326027,0.010566089776962688,-2.5567309764286863,0.6031776745786034,0.11783542364339472,0.0526976034848233,0.31578947368421056,0.2852844239779926,p < 0.05 uncorrected
